Order_ID,Order_TS,Scheduled_TS,Actual_TS,Scheduled_Minutes,Actual_Minutes,Delay_Minutes,Is_Delayed,Time_Slot,Zone,Weather,Traffic,Vehicle,Category,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Agent_Age,Agent_Rating,Order_Date,Order_Time,Pickup_Time
ORD_ID-1,19-03-2022 11:30,19-03-2022 12:50,19-03-2022 13:30,80,120,40,TRUE,09:00–12:00,Urban,Sunny,High,motorcycle,Clothing,22.745049,75.892471,22.765049,75.912471,37,4.9,19-03-2022,11:30:00,11:45:00
ORD_ID-2,25-03-2022 19:45,25-03-2022 22:05,25-03-2022 22:30,140,165,25,TRUE,18:00–21:00,Metropolitian,Stormy,Jam,scooter,Electronics,12.913041,77.683237,13.043041,77.813237,34,4.5,25-03-2022,19:45:00,19:50:00
ORD_ID-3,19-03-2022 08:30,19-03-2022 10:00,19-03-2022 10:40,90,130,40,TRUE,06:00–09:00,Urban,Sandstorms,Low,motorcycle,Sports,12.914264,77.6784,12.924264,77.6884,23,4.4,19-03-2022,08:30:00,08:45:00
ORD_ID-4,05-04-2022 18:00,05-04-2022 19:45,05-04-2022 19:45,105,105,0,FALSE,18:00–21:00,Metropolitian,Sunny,Medium,motorcycle,Cosmetics,11.003669,76.976494,11.053669,77.026494,38,4.7,05-04-2022,18:00:00,18:10:00
ORD_ID-5,26-03-2022 13:30,26-03-2022 15:50,26-03-2022 16:00,140,150,10,TRUE,12:00–15:00,Metropolitian,Cloudy,High,scooter,Toys,12.972793,80.249982,13.012793,80.289982,32,4.6,26-03-2022,13:30:00,13:45:00
ORD_ID-6,11-03-2022 21:20,11-03-2022 23:20,11-03-2022 23:30,120,130,10,TRUE,21:00–24:00,Urban,Cloudy,Jam,motorcycle,Toys,17.431668,78.408321,17.461668,78.438321,22,4.8,11-03-2022,21:20:00,21:30:00
ORD_ID-7,04-03-2022 19:15,04-03-2022 22:15,04-03-2022 22:35,180,200,20,TRUE,18:00–21:00,Metropolitian,Fog,Jam,scooter,Toys,23.369746,85.33982,23.479746,85.44982,33,4.7,04-03-2022,19:15:00,19:30:00
ORD_ID-8,14-03-2022 17:25,14-03-2022 19:42,14-03-2022 20:05,137.5,160,22.5,TRUE,15:00–18:00,Metropolitian,Cloudy,Medium,motorcycle,Snacks,12.352058,76.60665,12.482058,76.73665,35,4.6,14-03-2022,17:25:00,17:30:00
ORD_ID-9,20-03-2022 20:55,20-03-2022 23:15,20-03-2022 23:45,140,170,30,TRUE,18:00–21:00,Metropolitian,Stormy,Jam,motorcycle,Electronics,17.433809,78.386744,17.563809,78.516744,22,4.8,20-03-2022,20:55:00,21:05:00
ORD_ID-10,12-02-2022 21:55,13-02-2022 00:20,13-02-2022 01:45,145,230,85,TRUE,21:00–24:00,Metropolitian,Fog,Jam,motorcycle,Toys,30.327968,78.046106,30.397968,78.116106,36,4.2,12-02-2022,21:55:00,22:10:00
ORD_ID-11,13-02-2022 14:55,13-02-2022 17:07,13-02-2022 16:50,132.5,115,-17.5,FALSE,12:00–15:00,Metropolitian,Stormy,High,motorcycle,Cosmetics,10.003064,76.307589,10.043064,76.347589,21,4.7,13-02-2022,14:55:00,15:05:00
ORD_ID-12,04-03-2022 17:30,04-03-2022 19:50,04-03-2022 19:15,140,105,-35,FALSE,15:00–18:00,Metropolitian,Sandstorms,Medium,scooter,Shoes,18.56245,73.916619,18.65245,74.006619,23,4.7,04-03-2022,17:30:00,17:40:00
ORD_ID-13,13-02-2022 09:20,13-02-2022 11:15,13-02-2022 11:00,115,100,-15,FALSE,09:00–12:00,Metropolitian,Sandstorms,Low,motorcycle,Apparel,30.899584,75.809346,30.919584,75.829346,34,4.3,13-02-2022,09:20:00,09:30:00
ORD_ID-14,14-02-2022 19:50,14-02-2022 22:50,14-02-2022 23:15,180,205,25,TRUE,18:00–21:00,Metropolitian,Fog,Jam,scooter,Jewelry,26.463504,80.372929,26.593504,80.502929,24,4.7,14-02-2022,19:50:00,20:05:00
ORD_ID-15,02-04-2022 20:25,02-04-2022 22:50,02-04-2022 22:05,145,100,-45,FALSE,18:00–21:00,Metropolitian,Sandstorms,Jam,van,Outdoors,19.176269,72.836721,19.266269,72.926721,29,4.5,02-04-2022,20:25:00,20:35:00
ORD_ID-16,01-03-2022 14:55,01-03-2022 17:10,01-03-2022 15:28,135,33,-102,FALSE,12:00–15:00,Metropolitian,Windy,High,scooter,Grocery,12.311072,76.654878,12.351072,76.694878,35,4,01-03-2022,14:55:00,15:10:00
ORD_ID-17,16-03-2022 20:30,16-03-2022 22:55,16-03-2022 23:50,145,200,55,TRUE,18:00–21:00,Metropolitian,Sandstorms,Jam,motorcycle,Cosmetics,18.592718,73.773572,18.702718,73.883572,33,4.2,16-03-2022,20:30:00,20:40:00
ORD_ID-18,20-03-2022 20:40,20-03-2022 23:35,21-03-2022 00:05,175,205,30,TRUE,18:00–21:00,Metropolitian,Cloudy,Jam,motorcycle,Snacks,17.426228,78.407495,17.496228,78.477495,34,4.9,20-03-2022,20:40:00,20:50:00
ORD_ID-19,15-02-2022 21:15,15-02-2022 22:50,15-02-2022 22:30,95,75,-20,FALSE,21:00–24:00,Urban,Windy,Jam,motorcycle,Jewelry,22.552672,88.352885,22.582672,88.382885,21,4.7,15-02-2022,21:15:00,21:30:00
ORD_ID-20,16-03-2022 20:20,16-03-2022 22:45,16-03-2022 23:20,145,180,35,TRUE,18:00–21:00,Metropolitian,Sandstorms,Jam,motorcycle,Toys,18.563934,73.915367,18.643935,73.995367,25,4.1,16-03-2022,20:20:00,20:25:00
ORD_ID-21,10-03-2022 22:30,11-03-2022 00:30,11-03-2022 00:40,120,130,10,TRUE,21:00–24:00,Metropolitian,Sandstorms,Low,van,Books,23.357804,85.325146,23.487804,85.455146,31,4.7,10-03-2022,22:30:00,22:45:00
ORD_ID-22,11-03-2022 08:15,11-03-2022 10:00,11-03-2022 09:55,105,100,-5,FALSE,06:00–09:00,Metropolitian,Sandstorms,Low,motorcycle,Clothing,11.003669,76.976494,11.013669,76.986494,37,5,11-03-2022,08:15:00,08:30:00
ORD_ID-23,27-03-2022 19:30,27-03-2022 21:45,27-03-2022 22:45,135,195,60,TRUE,18:00–21:00,Metropolitian,Windy,Jam,scooter,Snacks,12.986047,80.218114,13.116047,80.348114,33,4.3,27-03-2022,19:30:00,19:45:00
ORD_ID-24,26-03-2022 12:25,26-03-2022 14:45,26-03-2022 15:15,140,170,30,TRUE,12:00–15:00,Metropolitian,Cloudy,High,motorcycle,Jewelry,19.221315,72.862381,19.261315,72.902381,25,4,26-03-2022,12:25:00,12:30:00
ORD_ID-25,27-03-2022 18:35,27-03-2022 20:20,27-03-2022 19:50,105,75,-30,FALSE,18:00–21:00,Metropolitian,Sunny,Medium,van,Outdoors,13.005801,80.250744,13.115801,80.360744,29,4.5,27-03-2022,18:35:00,18:50:00
ORD_ID-26,05-04-2022 20:35,05-04-2022 22:45,05-04-2022 22:05,130,90,-40,FALSE,18:00–21:00,Urban,Stormy,Jam,motorcycle,Cosmetics,26.849596,75.800512,26.879596,75.830512,27,5,05-04-2022,20:35:00,20:40:00
ORD_ID-27,12-03-2022 23:20,13-03-2022 01:40,13-03-2022 02:30,140,190,50,TRUE,21:00–24:00,Metropolitian,Cloudy,Low,scooter,Electronics,21.160522,72.771477,21.250522,72.861477,35,4.3,12-03-2022,23:20:00,23:30:00
ORD_ID-28,16-03-2022 21:20,16-03-2022 23:25,17-03-2022 01:15,125,235,110,TRUE,21:00–24:00,Metropolitian,Windy,Jam,motorcycle,Cosmetics,12.934179,77.615797,13.024179,77.705797,32,4,16-03-2022,21:20:00,21:35:00
ORD_ID-29,02-04-2022 23:35,03-04-2022 01:10,03-04-2022 00:35,95,60,-35,FALSE,21:00–24:00,Urban,Windy,Low,van,Jewelry,18.51421,73.838429,18.62421,73.948429,23,4.8,02-04-2022,23:35:00,23:45:00
ORD_ID-30,01-04-2022 22:35,02-04-2022 00:35,02-04-2022 00:45,120,130,10,TRUE,21:00–24:00,Metropolitian,Sandstorms,Low,motorcycle,Jewelry,11.022477,76.995667,11.052477,77.025667,31,4.8,01-04-2022,22:35:00,22:50:00
ORD_ID-31,05-03-2022 22:35,06-03-2022 00:15,06-03-2022 00:25,100,110,10,TRUE,21:00–24:00,Urban,Stormy,Low,motorcycle,Cosmetics,21.160437,72.774209,21.210437,72.824209,36,4.1,05-03-2022,22:35:00,22:40:00
ORD_ID-32,11-02-2022 23:25,12-02-2022 01:10,12-02-2022 01:10,105,105,0,FALSE,21:00–24:00,Urban,Sandstorms,Low,motorcycle,Jewelry,15.51315,73.78346,15.56315,73.83346,26,4.3,11-02-2022,23:25:00,23:35:00
ORD_ID-33,11-02-2022 13:35,11-02-2022 15:42,11-02-2022 15:40,127.5,125,-2.5,FALSE,12:00–15:00,Urban,Cloudy,High,scooter,Shoes,15.561295,73.749478,15.601295,73.789478,38,4.9,11-02-2022,13:35:00,13:40:00
ORD_ID-34,08-03-2022 21:35,08-03-2022 23:15,08-03-2022 22:10,100,35,-65,FALSE,21:00–24:00,Urban,Stormy,Jam,scooter,Grocery,0,0,0.11,0.11,32,3.5,08-03-2022,21:35:00,21:45:00
ORD_ID-35,02-04-2022 22:35,03-04-2022 00:55,03-04-2022 01:05,140,150,10,TRUE,21:00–24:00,Metropolitian,Cloudy,Low,scooter,Sports,18.563934,73.915367,18.693935,74.045367,32,4.6,02-04-2022,22:35:00,22:45:00
ORD_ID-36,08-03-2022 18:55,08-03-2022 20:40,08-03-2022 20:45,105,110,5,TRUE,18:00–21:00,Metropolitian,Sunny,Medium,motorcycle,Jewelry,18.55144,73.804855,18.62144,73.874855,33,4.9,08-03-2022,18:55:00,19:10:00
ORD_ID-37,03-04-2022 14:15,03-04-2022 16:20,03-04-2022 15:05,125,50,-75,FALSE,12:00–15:00,Urban,Windy,High,scooter,Toys,18.593481,73.785901,18.633481,73.825901,20,4.7,03-04-2022,14:15:00,14:25:00
ORD_ID-38,30-03-2022 11:00,30-03-2022 12:55,30-03-2022 12:35,115,95,-20,FALSE,09:00–12:00,Metropolitian,Sandstorms,Low,scooter,Kitchen,21.173343,72.792731,21.183343,72.802731,20,4.8,30-03-2022,11:00:00,11:10:00
ORD_ID-39,01-04-2022 09:45,01-04-2022 11:05,01-04-2022 10:40,80,55,-25,FALSE,09:00–12:00,Urban,Sunny,Low,scooter,Clothing,17.451976,78.385883,17.471976,78.405883,35,5,01-04-2022,09:45:00,09:55:00
ORD_ID-40,28-03-2022 08:40,28-03-2022 10:25,28-03-2022 09:35,105,55,-50,FALSE,06:00–09:00,Metropolitian,Stormy,Low,scooter,Kitchen,12.972532,77.608179,12.992532,77.628179,26,4.9,28-03-2022,08:40:00,08:55:00
ORD_ID-41,18-03-2022 23:00,19-03-2022 01:25,19-03-2022 01:20,145,140,-5,FALSE,21:00–24:00,Metropolitian,Fog,Low,motorcycle,Books,12.972532,77.608179,13.042532,77.678179,22,4.8,18-03-2022,23:00:00,23:10:00
ORD_ID-42,14-03-2022 17:25,14-03-2022 19:42,14-03-2022 17:58,137.5,33,-104.5,FALSE,15:00–18:00,Metropolitian,Cloudy,Medium,motorcycle,Grocery,13.064181,80.236442,13.134181,80.306442,35,4.3,14-03-2022,17:25:00,17:30:00
ORD_ID-43,04-04-2022 19:45,04-04-2022 22:10,05-04-2022 00:05,145,260,115,TRUE,18:00–21:00,Metropolitian,Sandstorms,Jam,motorcycle,Clothing,21.149569,72.772697,21.239569,72.862697,37,4.7,04-04-2022,19:45:00,19:50:00
ORD_ID-44,08-03-2022 19:10,08-03-2022 21:30,08-03-2022 21:00,140,110,-30,FALSE,18:00–21:00,Metropolitian,Stormy,Jam,scooter,Cosmetics,19.091458,72.827808,19.201458,72.937808,28,4.6,08-03-2022,19:10:00,19:25:00
ORD_ID-45,13-02-2022 10:55,13-02-2022 12:15,13-02-2022 11:11,80,16,-64,FALSE,09:00–12:00,Urban,Fog,Low,scooter,Grocery,22.539129,88.365507,22.559129,88.385507,37,4.9,13-02-2022,10:55:00,11:00:00
ORD_ID-46,24-03-2022 21:40,24-03-2022 23:35,24-03-2022 22:35,115,55,-60,FALSE,21:00–24:00,Metropolitian,Sunny,Jam,van,Apparel,19.221315,72.862381,19.281315,72.922381,23,4.9,24-03-2022,21:40:00,21:45:00
ORD_ID-47,19-03-2022 19:00,19-03-2022 21:15,19-03-2022 21:05,135,125,-10,FALSE,18:00–21:00,Metropolitian,Windy,Medium,scooter,Snacks,12.970324,77.645748,13.030324,77.705748,27,4.9,19-03-2022,19:00:00,19:15:00
ORD_ID-48,09-03-2022 16:45,09-03-2022 18:15,09-03-2022 18:55,90,130,40,TRUE,15:00–18:00,Urban,Cloudy,Medium,motorcycle,Jewelry,13.064181,80.236442,13.104181,80.276442,37,4.8,09-03-2022,16:45:00,16:55:00
ORD_ID-49,19-03-2022 11:30,19-03-2022 13:00,19-03-2022 13:00,90,90,0,FALSE,09:00–12:00,Metropolitian,Sunny,High,scooter,Shoes,21.175975,72.795503,21.185975,72.805503,33,5,19-03-2022,11:30:00,11:40:00
ORD_ID-50,03-04-2022 15:10,03-04-2022 17:30,03-04-2022 16:30,140,80,-60,FALSE,15:00–18:00,Metropolitian,Fog,Medium,motorcycle,Books,23.369746,85.33982,23.409746,85.37982,31,4.9,03-04-2022,15:10:00,15:15:00
ORD_ID-51,25-03-2022 22:45,26-03-2022 00:45,26-03-2022 00:40,120,115,-5,FALSE,21:00–24:00,Metropolitian,Stormy,Low,scooter,Cosmetics,12.914264,77.6784,13.024264,77.7884,31,4.8,25-03-2022,22:45:00,22:55:00
ORD_ID-52,13-02-2022 22:10,14-02-2022 00:30,13-02-2022 23:25,140,75,-65,FALSE,21:00–24:00,Metropolitian,Cloudy,Low,motorcycle,Home,0,0,0.03,0.03,25,5,13-02-2022,22:10:00,22:25:00
ORD_ID-53,04-04-2022 20:45,04-04-2022 23:10,04-04-2022 23:45,145,180,35,TRUE,18:00–21:00,Metropolitian,Sandstorms,Jam,motorcycle,Kitchen,11.003681,76.975525,11.083681,77.055525,28,4.8,04-04-2022,20:45:00,20:55:00
ORD_ID-54,26-03-2022 22:50,27-03-2022 01:10,27-03-2022 00:10,140,80,-60,FALSE,21:00–24:00,Metropolitian,Cloudy,Low,motorcycle,Clothing,21.173343,72.792731,21.233343,72.852731,31,4.7,26-03-2022,22:50:00,23:05:00
ORD_ID-55,10-03-2022 17:55,10-03-2022 19:20,10-03-2022 19:30,85,95,10,TRUE,15:00–18:00,Urban,Sunny,Medium,motorcycle,Snacks,10.96185,76.971082,11.05185,77.061082,24,4.7,10-03-2022,17:55:00,18:00:00
ORD_ID-56,14-02-2022 22:45,15-02-2022 00:40,15-02-2022 01:00,115,135,20,TRUE,21:00–24:00,Metropolitian,Sunny,Low,motorcycle,Jewelry,27.165108,78.015053,27.255108,78.105053,39,4.6,14-02-2022,22:45:00,23:00:00
ORD_ID-57,02-03-2022 20:35,03-03-2022 00:40,03-03-2022 00:40,245,245,0,FALSE,18:00–21:00,Semi-Urban,Fog,Jam,scooter,Apparel,0,0,0.08,0.08,39,4.2,02-03-2022,20:35:00,20:50:00
ORD_ID-58,26-03-2022 09:25,26-03-2022 11:05,26-03-2022 11:05,100,100,0,FALSE,09:00–12:00,Other,Windy,Low,scooter,Shoes,26.88842,75.800689,26.89842,75.810689,32,4.5,26-03-2022,09:25:00,09:40:00
ORD_ID-59,13-03-2022 20:15,13-03-2022 23:10,13-03-2022 22:45,175,150,-25,FALSE,18:00–21:00,Metropolitian,Cloudy,Jam,motorcycle,Sports,0,0,0.06,0.06,36,4.7,13-03-2022,20:15:00,20:20:00
ORD_ID-60,29-03-2022 22:25,30-03-2022 00:10,29-03-2022 23:55,105,90,-15,FALSE,21:00–24:00,Urban,Sandstorms,Low,scooter,Cosmetics,26.913987,75.752891,26.993987,75.832891,25,4.8,29-03-2022,22:25:00,22:35:00
